"","groupSize","numberOfGroups","Method","IntWidth"
"1",5,5,"parametric",3.23444275477379
"2",10,5,"parametric",3.00453192015209
"3",20,5,"parametric",2.88019711181257
"4",50,5,"parametric",2.80826473349523
"5",5,10,"parametric",3.03769787520902
"6",10,10,"parametric",2.8620350821728
"7",20,10,"parametric",2.76860751652686
"8",50,10,"parametric",2.71718880765817
"9",5,20,"parametric",2.92855960356735
"10",10,20,"parametric",2.76727227462704
"11",20,20,"parametric",2.69961383599013
"12",50,20,"parametric",2.65213296086465
"13",5,50,"parametric",2.84336746505302
"14",10,50,"parametric",2.72566401328553
"15",20,50,"parametric",2.65405810297132
"16",50,50,"parametric",2.61565315479465
"17",5,5,"bootstrap",2.42353558879884
"18",10,5,"bootstrap",2.44518132528862
"19",20,5,"bootstrap",2.42736465762447
"20",50,5,"bootstrap",2.44720818651399
"21",5,10,"bootstrap",2.4609513093305
"22",10,10,"bootstrap",2.45410934094096
"23",20,10,"bootstrap",2.45570101350575
"24",50,10,"bootstrap",2.46811068487182
"25",5,20,"bootstrap",2.45696482327986
"26",10,20,"bootstrap",2.44772516719588
"27",20,20,"bootstrap",2.46632139767004
"28",50,20,"bootstrap",2.45568988926392
"29",5,50,"bootstrap",2.44902931526412
"30",10,50,"bootstrap",2.45801941091212
"31",20,50,"bootstrap",2.44780340993837
"32",50,50,"bootstrap",2.4622176988554
