"","groupSize","numberOfGroups","CoverageProb","Method"
"1",5,5,0.846476,"parametric"
"2",10,5,0.819244,"parametric"
"3",20,5,0.808848,"parametric"
"4",50,5,0.80512,"parametric"
"5",5,10,0.830516,"parametric"
"6",10,10,0.825112,"parametric"
"7",20,10,0.806196,"parametric"
"8",50,10,0.804476,"parametric"
"9",5,20,0.837384,"parametric"
"10",10,20,0.819536,"parametric"
"11",20,20,0.804592,"parametric"
"12",50,20,0.802468,"parametric"
"13",5,50,0.837364,"parametric"
"14",10,50,0.813936,"parametric"
"15",20,50,0.808456,"parametric"
"16",50,50,0.806644,"parametric"
"17",5,5,0.76282,"bootstrap"
"18",10,5,0.75946,"bootstrap"
"19",20,5,0.765284,"bootstrap"
"20",50,5,0.768792,"bootstrap"
"21",5,10,0.762108,"bootstrap"
"22",10,10,0.772468,"bootstrap"
"23",20,10,0.767036,"bootstrap"
"24",50,10,0.775424,"bootstrap"
"25",5,20,0.776964,"bootstrap"
"26",10,20,0.774444,"bootstrap"
"27",20,20,0.767184,"bootstrap"
"28",50,20,0.769308,"bootstrap"
"29",5,50,0.786428,"bootstrap"
"30",10,50,0.77374,"bootstrap"
"31",20,50,0.771408,"bootstrap"
"32",50,50,0.771384,"bootstrap"
